"","id","host_id","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","property_type","price","security_deposit","review_scores_rating","place","avg_rating","experience_rating","response_rating","acceptance_rating","risk","risk_score","host_rating"
"996",19869175,4656004,"Louis",2013-01-10,"within an hour","100","88","t","Apartment",100,0,97,"Ghent",97,1.29,1,0.88,0,1,9.31
"998",20612508,147323902,"Rudy",2017-08-23,"within an hour","100","100","t","Apartment",70,200,96,"Ghent",95,-0.77,1,1,2.86,0.94,7.56
"999",20832785,3149265,"Simela",2012-08-03,"within an hour","100","92","t","Apartment",64,0,99,"Ghent",96,1.49,1,0.92,0,1,9.67
"1000",21214879,29742444,"Mattias",2015-03-21,"within an hour","100","100","t","House",98,NA,97,"Ghent",97,0.31,1,1,0,1,8.81
"1001",21222837,13589979,"Maria",2014-03-27,"within an hour","100","100","t","Townhouse",29,0,97,"Ghent",97,0.75,1,1,0,1,9.25
"1002",21342969,34274994,"Ann-Sophie",2015-05-26,"within an hour","100","100","t","Guesthouse",130,0,97,"Ghent",97,0.23,1,1,0,1,8.73
"1003",22047333,22753242,"Michiel",2014-10-20,"within an hour","100","99","t","Loft",90,0,98,"Ghent",98,0.5,1,0.99,0,1,8.96
"1004",22189752,32189181,"Hans",2015-04-29,"within an hour","100","100","t","Apartment",59,0,99,"Ghent",99,0.27,1,1,0,1,8.77
"1005",22330886,163267642,"Luc",2017-12-19,"within an hour","100","100","t","Apartment",55,0,96,"Ghent",96,-0.91,1,1,0,1,7.59
"1006",22449902,164484810,"Vroni",2017-12-27,"within an hour","100","100","t","Townhouse",48,0,100,"Ghent",100,-0.92,1,1,0,1,7.58
"1007",22460391,163622698,"Adon",2017-12-21,"within an hour","100","89","t","Apartment",18,0,96,"Ghent",92,-0.91,1,0.89,0,1,7.15
"1008",22627491,45998399,"Syreetah Merelyn",2015-10-07,"within an hour","100","100","t","Townhouse",150,0,96,"Ghent",96,0.07,1,1,0,1,8.57
"1009",22630396,166600474,"Miche",2018-01-08,"within an hour","100","100","t","Villa",80,200,97,"Ghent",99,-0.93,1,1,2.5,0.95,7.42
"1010",22710220,18970937,"Bert",2014-07-27,"within an hour","100","98","t","House",69,0,100,"Ghent",98,0.6,1,0.98,0,1,9.02
"1011",23143116,50671033,"Florian",2015-12-06,"within an hour","100","99","t","Apartment",62,200,97,"Ghent",97,0,1,0.99,3.23,0.94,8.26
"1012",23227439,63080910,"Jeremy",2016-03-15,"within an hour","100","100","t","Townhouse",42,0,95,"Ghent",93,-0.12,1,1,0,1,8.38
"1013",23245483,59239296,"Voornaam",2016-02-17,"within an hour","100","73","t","Townhouse",109,480,95,"Ghent",95,-0.09,1,0.73,4.4,0.91,7.06
"1014",23298129,67197572,"Bert",2016-04-14,"within an hour","100","100","t","House",200,0,98,"Ghent",98,-0.16,1,1,0,1,8.34
"1015",23643843,69788907,"Myriam",2016-05-01,"within an hour","100","100","t","Loft",210,500,96,"Ghent",96,-0.18,1,1,2.38,0.95,8.17
"1016",23730534,67287371,"Sien",2016-04-15,"within an hour","100","97","t","Townhouse",42,4450,98,"Ghent",98,-0.16,1,0.97,105.95,0,5.22
"1017",23863782,179287710,"Mario",2018-03-19,"within an hour","100","100","t","Townhouse",47,0,97,"Ghent",97,-1.02,1,1,0,1,7.48
"1018",23935662,72907064,"Inge",2016-05-19,"within an hour","100","100","t","Apartment",52,200,96,"Ghent",98,-0.2,1,1,3.85,0.92,8.07
"1019",23949863,36436221,"Ludo",2015-06-22,"within an hour","100","100","t","Apartment",78,100,97,"Ghent",97,0.2,1,1,1.28,0.97,8.62
"1020",24341444,7431211,"Wilfried",2013-07-11,"within an hour","100","93","t","Apartment",120,0,100,"Ghent",100,1.07,1,0.93,0,1,9.29
